Legislation ,Description
Freq of Enacted Legislation,
                                               Access to Drinking Water,"Measures or standards requiring that quality drinking water is easily accessible in childcare centers, schools, and/or recreational facilities"
                                                Access to Healthy Foods,Includes any measure to increase the availability of healthier food and beverage choices without limitation specific settings and including the use and/or promotion of procurement policies and/or food service guidelines.
                                   Access to Recreational Opportunities,"Measures that support/require public schools to allow the community access to and use of their athletic facilities (pools, tennis courts, athletic fields, basketball courts, gym) by the public during non-school hours."
                                                Agriculture and Farming,"Measures that encourage the production of food from local farms. Legislation that promotes (or inhibits) a systems approach to food including production, processing, and distribution. Includes measures addressing interstate transportation of foods, growing commodity crops, and zoning incentives directly related to farming. Also includes measures that address education to farmers, agricultural land preservation, and research of land potential."
                                                         Appropriations,"Bills that appropriate funding for nutrition initiatives/activities. Bills that authorize the use of tobacco settlement money to fund nutrition initiatives/activities are included. Appropriation bills that authorize the transfer of funds between programs, modify funding formulas, and propose budget revisions are excluded. Interest is in monitoring the level and types of funds that states appropriate for nutrition initiatives/activities"
                                                              Bicycling,"Measures to promote bicycling including the development of new or enhancement of existing infrastructure that supports bicycling. This may include designation of shared-use paths and bike lanes, or other measures otherwise supporting/encouraging bicycling such as providing bike racks in public venues. Also covers programs and social support groups that engage/share bicycling."
                                                  Body Mass Index (BMI),Initiatives or programs that address body mass index (BMI) as a measure of population prevalence of overweight and obesity. Includes school-based BMI programs that are conducted for surveillance or screening purposes. May also include establishing a safe and supportive environment for students of all body sizes.
                                                          Breastfeeding,"Measures that support breastfeeding activities and programs. Directives creating committees, commissions, task forces or similar bodies with responsibility for developing, evaluating, studying, or proposing policies and programs that improve support for breastfeeding. Measures that support the implementation and evaluation of evidence-based policies to improve the practices in hospitals and birth centers that influence breastfeeding and related health outcomes. Measures that support breastfeeding in the workplace including setting up breastfeeding facilities, providing time and private space for breastfeeding during working hours, creating a flexible work environment that allows breastfed infants to be brought to work, providing onside child care services, and providing paid maternity leaves."
                              Built Environment and Street-Scale Design,"Covers measures that are designed to improve the security of pedestrians and bicyclists from motorized traffic and addresses operating streets with safe access for all users, such as Complete Streets policies. Street-scale design and land use policies involve the efforts of urban planners, architects, engineers, developers, and public health professionals to change the physical environment of small geographic areas, generally limited to a few blocks, in ways that support physical activity. Legislation and regulations can include: building codes and roadway design standards. Legislated or regulated design components can include: improved street lighting, infrastructure projects to increase safety of street crossing, use of traffic calming approaches (e.g., speed humps, traffic circles), and enhancing street landscaping. Covers urban scale design."
                                 Correctional Facilities Farms Programs,Provisions that cover the correction facility/prison population operating a farm and providing food to local communities are included. Exclude legislation/regulations that address provisions for nutritional/food services to inmates
                                                           Disabilities,"Measures designed to decrease or eliminate barriers to regular physical activity that differ from those experienced by the general population, including lack of transportation centers, lack of information on available and accessible facilities and programs, lack of accessible exercise equipment and adequate space to move about, and the perception that fitness facilities are unfriendly environments for those with a disability."
                                                     Disparities/Equity,"Bills and regulations that address disparities in overweight and obesity among segments of the population based on race and ethnicity, gender, age, and socioeconomic status. If a bill or regulation addresses the broad concept of health disparities or health equity, the term Disparities/Equity is assigned in all three categories"
